YYYYMM,행정동코드,행정동_코드_명,아파트_단지_수,아파트_면적_66_제곱미터_미만_세대_수,아파트_면적_66_제곱미터_세대_수,아파트_면적_99_제곱미터_세대_수,아파트_면적_132_제곱미터_세대_수,아파트_면적_165_제곱미터_세대_수,아파트_평균_면적,아파트_평균_시가
201912,11620735,대학동,109,1328,1582,42,1,0,57,163988280
201912,11620745,삼성동,192,3442,2026,473,12,1,58,169692851
201912,11620765,미성동,439,4607,2041,492,266,0,54,163026470
201912,11620775,난곡동,484,4998,658,84,3,1,48,128401327
201912,11650510,서초1동,251,2492,1591,764,557,430,79,402844396
201912,11650520,서초2동,95,1759,2005,676,722,268,79,542158574
201912,11650530,서초3동,475,3077,1453,1370,1181,1460,89,470399049
201912,11650531,서초4동,102,587,4019,2717,1220,709,105,1055283463
201912,11650540,잠원동,179,3165,4851,1338,1351,123,83,773147823
201912,11650550,반포본동,101,0,1503,1359,728,60,106,2146752288
201912,11650560,반포1동,281,3281,2474,770,588,1031,62,541289955
201912,11650570,반포2동,57,1180,2741,1325,1295,774,116,1810545120
201912,11650580,반포3동,52,768,2930,1810,854,37,100,1238448217
201912,11650581,반포4동,365,1109,2624,518,688,958,121,643229652
201912,11650590,방배본동,305,1178,915,1021,681,1381,97,574803704
201912,11650600,방배1동,370,2523,1255,421,324,292,62,349907659
201912,11650610,방배2동,456,2121,1928,623,217,83,65,423937687
201912,11650620,방배3동,357,1526,1612,1275,992,554,75,427045339
201912,11650621,방배4동,563,3369,1661,592,431,964,81,472130924
201912,11650651,양재1동,474,7237,4339,1631,205,276,82,449760042
201912,11650652,양재2동,504,4066,1431,151,114,24,57,270104671
201912,11650660,내곡동,98,2547,1217,873,4,11,83,680472232
201912,11680510,신사동,155,829,761,1296,823,776,77,677096632
201912,11680521,논현1동,486,4718,929,399,185,294,66,353132222
201912,11680531,논현2동,399,2610,1992,818,328,326,74,452665399
201912,11680545,압구정동,181,1137,1392,2191,2186,1264,111,1210630980
201912,11680565,청담동,355,2375,2269,2193,1087,1115,106,919279201
201912,11680580,삼성1동,206,819,1474,742,603,673,97,808222348
201912,11680590,삼성2동,407,4177,3246,1354,604,276,65,457688181
201912,11680600,대치1동,95,496,2864,1610,1432,100,106,1326518505
201912,11680610,대치2동,300,1427,6654,2797,452,231,78,667421066
201912,11680630,대치4동,423,4320,854,272,211,149,52,291045172
201912,11680640,역삼1동,718,7957,1387,435,273,220,53,261197257
201912,11680650,역삼2동,361,6164,3245,1014,1041,227,64,491823903
201912,11680655,도곡1동,172,1414,2660,1533,360,424,94,621073997
201912,11680656,도곡2동,130,1701,2470,2396,1911,1619,95,975087113
201912,11680660,개포1동,159,5122,520,457,330,437,61,1065496504
201912,11680670,개포2동,86,1407,2103,7,178,3,68,580926605
201912,11680690,개포4동,377,2652,1158,51,316,248,59,319491395
201912,11680700,세곡동,210,5729,4553,1373,0,6,77,597800321
201912,11680720,일원본동,116,2695,3052,843,585,0,81,867767947
201912,11680730,일원1동,180,3733,156,18,21,1,55,310292322
201912,11680740,일원2동,48,4198,1077,231,128,84,68,725458289
201912,11680750,수서동,42,3273,683,409,220,36,81,789175877
201912,11710510,풍납1동,108,957,1255,140,6,4,59,209610396
201912,11710520,풍납2동,208,2728,2765,684,21,89,55,226691560
201912,11710531,거여1동,170,1577,1220,135,3,0,51,193017393
201912,11710532,거여2동,130,3838,608,298,299,0,61,283531021
201912,11710540,마천1동,327,2856,1057,264,9,3,60,282428626
201912,11710550,마천2동,350,3073,905,141,5,2,53,209625824
201912,11710561,방이1동,300,1815,1735,512,345,86,65,280988860
201912,11710562,방이2동,743,5820,1318,174,53,112,52,213761442
201912,11710566,오륜동,122,43,1991,2410,1096,0,111,1122099046
201912,11710570,오금동,621,5829,3465,1749,154,359,59,245061589
201912,11710580,송파1동,805,6363,1294,261,455,93,48,210085490
201912,11710590,송파2동,233,1943,2341,1329,283,131,64,348715493
201912,11710600,석촌동,1133,8741,1921,287,62,5,49,217907841
201912,11710610,삼전동,1112,8666,1487,188,20,2,48,193230020
201912,11710620,가락본동,370,4065,2301,894,356,118,58,249823566
201912,11710631,가락1동,4,0,206,0,0,0,85,638852624
201912,11710632,가락2동,472,4801,3342,781,247,41,55,249888399
201912,11710641,문정1동,387,3055,1513,968,600,133,56,261915577
201912,11710642,문정2동,66,0,2419,974,1980,120,116,920507791
201912,11710646,장지동,462,7492,3655,38,14,1,52,277087891
201912,11710647,위례동,95,4107,2048,1619,6,4,76,621040740
201912,11710650,잠실본동,798,6273,1738,277,58,1,47,214161211
201912,11710670,잠실2동,135,2263,7632,1346,0,0,87,1079062828
201912,11710680,잠실3동,112,1276,7392,1145,1131,101,91,1079554187
201912,11710690,잠실4동,93,2685,5130,966,940,0,93,971495913
201912,11710710,잠실6동,42,497,2123,1417,547,804,112,944903421
201912,11710720,잠실7동,43,0,1146,768,1032,252,126,1408792207
201912,11740515,강일동,169,5943,3476,937,0,0,72,406250675
201912,11740520,상일동,122,1137,952,161,159,163,78,377217100
201912,11740530,명일1동,170,2160,3042,571,61,0,61,248611146
201912,11740540,명일2동,64,101,2505,1014,680,0,88,480770165
201912,11740550,고덕1동,146,2659,3996,309,127,79,69,447696526
201912,11740560,고덕2동,49,313,4,0,0,0,45,151773607
201912,11740570,암사1동,651,5505,2368,470,1,4,50,175544109
201912,11740580,암사2동,110,2301,1905,205,64,3,52,222971188
201912,11740590,암사3동,119,1630,1945,1494,268,8,72,366982955
201912,11740600,천호1동,445,4325,2030,93,8,0,51,186924456
201912,11740610,천호2동,486,4570,1515,326,108,6,50,202540241
201912,11740620,천호3동,222,2859,2140,613,27,1,52,211370570
201912,11740640,성내1동,359,3403,2149,439,30,124,58,211532627
201912,11740650,성내2동,325,3327,1186,150,8,19,48,178208411
201912,11740660,성내3동,456,3394,2144,177,67,10,56,190814540
201912,11740685,길동,624,7468,5351,802,242,23,56,187717954
