YYYYMM,행정동코드,년도,월,행정동_명칭,자치구_명칭,생활비용지수_등급,생활비용지수
202501,1147063000,2025,1,신정2동,양천구,3,9.19795983876672
202501,1147064000,2025,1,신정3동,양천구,3,8.702417528102144
202501,1147065000,2025,1,신정4동,양천구,3,9.08393321369078
202501,1147067000,2025,1,신정6동,양천구,3,8.698307258814886
202501,1147068000,2025,1,신정7동,양천구,3,9.196048747916322
202501,1150051000,2025,1,염창동,강서구,3,9.159687836040424
202501,1150052000,2025,1,등촌1동,강서구,3,9.30800315500726
202501,1150053000,2025,1,등촌2동,강서구,3,8.457874437269558
202501,1150053500,2025,1,등촌3동,강서구,3,9.22577231037111
202501,1150054000,2025,1,화곡1동,강서구,3,8.987996084330337
202501,1150055000,2025,1,화곡2동,강서구,3,8.456603455729832
202501,1150056000,2025,1,화곡3동,강서구,3,8.934149954687328
202501,1150057000,2025,1,화곡4동,강서구,3,8.856950952415477
202501,1150059000,2025,1,화곡본동,강서구,3,8.642396363229512
202501,1150059100,2025,1,화곡6동,강서구,3,8.85693737474996
202501,1150059300,2025,1,화곡8동,강서구,3,8.528444486667198
202501,1150060300,2025,1,가양1동,강서구,3,9.267551129293588
202501,1150060400,2025,1,가양2동,강서구,3,9.061111811895488
202501,1150060500,2025,1,가양3동,강서구,3,8.947996042363027
202501,1150061100,2025,1,발산1동,강서구,3,9.42986840162484
202501,1150061500,2025,1,우장산동,강서구,3,8.915464604474838
202501,1150062000,2025,1,공항동,강서구,3,8.762569775741058
202501,1150063000,2025,1,방화1동,강서구,3,9.078028581282188
202501,1150064000,2025,1,방화2동,강서구,3,8.634166821702877
202501,1150064100,2025,1,방화3동,강서구,3,8.498527827620858
202501,1153051000,2025,1,신도림동,구로구,3,8.951005698584519
202501,1153052000,2025,1,구로1동,구로구,3,8.611882889558695
202501,1153053000,2025,1,구로2동,구로구,2,9.631632849515732
202501,1153054000,2025,1,구로3동,구로구,3,9.40216460964638
202501,1153055000,2025,1,구로4동,구로구,3,9.091020703513252
202501,1153056000,2025,1,구로5동,구로구,3,9.286282032868591
202501,1153059500,2025,1,가리봉동,구로구,3,8.989784767614623
202501,1153072000,2025,1,고척1동,구로구,3,9.038136095982798
202501,1153073000,2025,1,고척2동,구로구,3,8.911851989664864
202501,1153074000,2025,1,개봉1동,구로구,3,8.68977732152865
202501,1153075000,2025,1,개봉2동,구로구,3,8.670852898072482
202501,1153076000,2025,1,개봉3동,구로구,3,8.573659164666445
202501,1153077000,2025,1,오류1동,구로구,3,8.912411308725556
202501,1153078000,2025,1,오류2동,구로구,3,8.448957916650771
202501,1153079000,2025,1,수궁동,구로구,4,8.426371599213297
202501,1153080000,2025,1,항동,구로구,5,6.455213886068526
202501,1154551000,2025,1,가산동,금천구,2,10.050018349806182
202501,1154561000,2025,1,독산1동,금천구,2,9.500275710155917
202501,1154562000,2025,1,독산2동,금천구,3,8.882621736743257
202501,1154563000,2025,1,독산3동,금천구,3,9.015163131652995
202501,1154564000,2025,1,독산4동,금천구,3,8.640951509595794
202501,1154567000,2025,1,시흥1동,금천구,3,9.173475694596045
202501,1154568000,2025,1,시흥2동,금천구,4,8.032680957234653
202501,1154569000,2025,1,시흥3동,금천구,3,8.60319788312338
202501,1154570000,2025,1,시흥4동,금천구,4,8.383285548997724
202501,1154571000,2025,1,시흥5동,금천구,3,8.98301749109439
202501,1156051500,2025,1,영등포본동,영등포구,3,9.392512350882525
202501,1156053500,2025,1,영등포동,영등포구,2,9.816436841767878
202501,1156054000,2025,1,여의동,영등포구,2,9.952423646603446
202501,1156055000,2025,1,당산1동,영등포구,2,9.747203347137951
202501,1156056000,2025,1,당산2동,영등포구,3,9.171133377999444
202501,1156058500,2025,1,도림동,영등포구,3,8.544332352618841
202501,1156060500,2025,1,문래동,영등포구,2,9.664559507264835
202501,1156061000,2025,1,양평1동,영등포구,3,9.02437303130109
202501,1156062000,2025,1,양평2동,영등포구,3,9.238712328956984
202501,1156063000,2025,1,신길1동,영등포구,3,9.002822196284942
202501,1156065000,2025,1,신길3동,영등포구,3,9.15578863300826
202501,1156066000,2025,1,신길4동,영등포구,3,8.619855202072326
202501,1156067000,2025,1,신길5동,영등포구,3,9.00952870218638
202501,1156068000,2025,1,신길6동,영등포구,3,9.1711968856791
202501,1156069000,2025,1,신길7동,영등포구,3,8.722514014067919
202501,1156070000,2025,1,대림1동,영등포구,3,9.127416770742666
202501,1156071000,2025,1,대림2동,영등포구,3,9.13425904819412
202501,1156072000,2025,1,대림3동,영등포구,2,9.608498265540172
202501,1159051000,2025,1,노량진1동,동작구,2,10.064343916194218
202501,1159052000,2025,1,노량진2동,동작구,1,11.12155710401296
202501,1159053000,2025,1,상도1동,동작구,3,9.036487243997362
202501,1159054000,2025,1,상도2동,동작구,3,8.881991711739852
202501,1159055000,2025,1,상도3동,동작구,3,9.054143589884106
202501,1159056000,2025,1,상도4동,동작구,3,8.556656907206142
