행정동코드,행정동이름,AREA_M2,LAT,LON
1129076000,장위제1동,724308,127.04426,37.61494
1129077000,장위제2동,665829,127.05173,37.61222
1129078000,장위제3동,682909,127.05349,37.61818
1129081000,석관동,1731086,127.06134,37.60826
1130553400,삼양동,951708,127.01468,37.62379
1130553500,미아동,853875,127.02629,37.6287
1130554500,송중동,1061923,127.03292,37.6177
1130555500,송천동,939469,127.02487,37.61822
1130557500,삼각산동,586701,127.01683,37.61713
1130559500,번1동,595659,127.03054,37.63763
1130560300,번2동,1012328,127.03479,37.62952
1130560800,번3동,1091074,127.04234,37.62378
1130561500,수유1동,1728230,127.00884,37.62993
1130562500,수유2동,606037,127.0195,37.6454
1130563500,수유3동,730661,127.02355,37.64046
1130564500,우이동,10697189,127.00032,37.66035
1130566000,인수동,2860095,127.00396,37.63764
1132051100,창제1동,1093061,127.04356,37.64714
1132051200,창제2동,682713,127.03682,37.64263
1132051300,창제3동,637773,127.04163,37.63736
1132051400,창제4동,1114658,127.05093,37.65258
1132051500,창제5동,690264,127.04277,37.65536
1132052100,도봉제1동,8508462,127.02679,37.68508
1132052200,도봉제2동,1195130,127.04779,37.68119
1132066000,쌍문제1동,1160994,127.01951,37.65303
1132067000,쌍문제2동,531978,127.037,37.65706
1132068000,쌍문제3동,499481,127.03059,37.64769
1132068100,쌍문제4동,577003,127.03041,37.65555
1132069000,방학제1동,1060647,127.04352,37.66503
1132070000,방학제2동,1108653,127.03226,37.66915
1132071000,방학제3동,1860513,127.02347,37.6628
1135056000,월계1동,1178816,127.0586,37.62181
1135057000,월계2동,1991879,127.05121,37.63407
1135058000,월계3동,1167762,127.06489,37.62466
1135059500,공릉1동,1208569,127.07277,37.62412
1135060000,공릉2동,7264834,127.09423,37.63161
1135061100,하계1동,1441008,127.07481,37.63862
1135061200,하계2동,505737,127.06482,37.63484
1135061900,중계본동,2061637,127.08576,37.64814
1135062100,중계1동,608503,127.0735,37.65002
1135062400,중계4동,1457885,127.08224,37.65885
1135062500,중계2.3동,946538,127.06589,37.64334
1135063000,상계1동,5016467,127.06533,37.68327
1135064000,상계2동,591000,127.06727,37.65649
1135066500,상계3.4동,5783082,127.08327,37.67515
1135067000,상계5동,492170,127.0696,37.66322
1135069500,상계6.7동,1425634,127.06009,37.64875
1135070000,상계8동,661888,127.05365,37.66629
1135071000,상계9동,837674,127.0625,37.66807
1135072000,상계10동,828158,127.0584,37.65964
1138051000,녹번동,1915175,126.93505,37.60542
1138052000,불광제1동,3346747,126.93927,37.61731
1138053000,불광제2동,1338273,126.92865,37.62437
1138055100,갈현제1동,953450,126.91489,37.62535
1138055200,갈현제2동,1053392,126.91212,37.61828
1138056000,구산동,1352647,126.90765,37.61106
1138057000,대조동,871085,126.9231,37.61228
1138058000,응암제1동,1160262,126.9269,37.59826
1138059000,응암제2동,746941,126.92302,37.59189
1138060000,응암제3동,733293,126.91775,37.58865
1138062500,역촌동,1087046,126.91453,37.60457
1138063100,신사제1동,830268,126.90884,37.59899
1138063200,신사제2동,1041042,126.90629,37.59289
1138064000,증산동,919884,126.90581,37.58378
1138065000,수색동,1140125,126.8949,37.58577
1138069000,진관동,12911565,126.94052,37.63928
1141052000,천연동,893844,126.95714,37.57121
1141055500,북아현동,444705,126.95552,37.55925
1141056500,충현동,1136892,126.9581,37.56391
1141058500,신촌동,2566839,126.94106,37.56364
1141061500,연희동,2825921,126.93273,37.57201
1141062000,홍제제1동,1561215,126.9452,37.58154
1141064000,홍제제3동,1031592,126.95116,37.59202
1141065500,홍제제2동,712529,126.95253,37.58455
1141066000,홍은제1동,1550491,126.94703,37.59998
1141068500,홍은제2동,2048086,126.93217,37.58699
1141069000,남가좌제1동,447138,126.9162,37.57169
1141070000,남가좌제2동,812456,126.92133,37.57762
1141071000,북가좌제1동,581080,126.908,37.57527
1141072000,북가좌제2동,795331,126.9135,37.581
1144055500,아현동,731252,126.95284,37.55193
1144056500,공덕동,1002153,126.95779,37.54912
1144058500,도화동,860064,126.94681,37.53704
1144059000,용강동,956700,126.94127,37.54059
1144060000,대흥동,836007,126.9414,37.55212
1144061000,염리동,539922,126.94755,37.54982
1144063000,신수동,1118424,126.93364,37.54363
1144065500,서강동,1715559,126.92516,37.54595
1144066000,서교동,1647625,126.92094,37.55477
1144068000,합정동,1753036,126.90884,37.54687
1144069000,망원제1동,1124872,126.90021,37.55275
1144070000,망원제2동,1208058,126.89568,37.55712
1144071000,연남동,647383,126.92154,37.56303
1144072000,성산제1동,864039,126.91185,37.56198
1144073000,성산제2동,1963168,126.90204,37.56811
1144074000,상암동,7678191,126.88086,37.57179
1147051000,목1동,1564660,126.8751,37.52744
1147052000,목2동,1054247,126.8741,37.54359
1147053000,목3동,500764,126.86541,37.5452
1147054000,목4동,561686,126.8669,37.53544
1147055000,목5동,2069098,126.88103,37.53631
1147056000,신월1동,630072,126.83453,37.53127
1147057000,신월2동,614213,126.84633,37.5234
1147058000,신월3동,926653,126.82747,37.53236
1147059000,신월4동,454712,126.83982,37.52225
1147060000,신월5동,515356,126.8299,37.54004
1147061000,신월6동,473483,126.84213,37.51597
1147061100,신월7동,900522,126.83234,37.52066
