기준_년분기_코드,YYYYMM,행정동코드,당월_매출_금액,당월_매출_건수
20191.0,201903,1156070000,19612375369.0,1070939.0
20191.0,201903,1156071000,25676359087.0,989099.0
20191.0,201903,1156072000,96516196276.0,1841940.0
20191.0,201903,1159051000,253925460885.0,7311501.0
20191.0,201903,1159052000,372979878998.0,6082812.0
20191.0,201903,1159053000,48355442875.0,2696631.0
20191.0,201903,1159054000,19272809371.0,995523.0
20191.0,201903,1159055000,25349820931.0,1087593.0
20191.0,201903,1159056000,19533907567.0,1219012.0
20191.0,201903,1159060500,41414385073.0,2608518.0
20191.0,201903,1159062000,46202881997.0,1956874.0
20191.0,201903,1159063000,52628931404.0,2309077.0
20191.0,201903,1159064000,7663967700.0,362126.0
20191.0,201903,1159065000,18376684277.0,680817.0
20191.0,201903,1159065100,4219796412.0,302410.0
20191.0,201903,1159066000,36792753241.0,1712238.0
20191.0,201903,1159067000,14539071382.0,822515.0
20191.0,201903,1159068000,27589323377.0,1588320.0
20191.0,201903,1162052500,18431194442.0,1140773.0
20191.0,201903,1162054500,3439007146.0,157911.0
20191.0,201903,1162056500,7987623061.0,541042.0
20191.0,201903,1162057500,30754184280.0,1670290.0
20191.0,201903,1162058500,33053671076.0,1466855.0
20191.0,201903,1162059500,111929634686.0,4073973.0
20191.0,201903,1162060500,34093374932.0,1365550.0
20191.0,201903,1162061500,30591815823.0,1644955.0
20191.0,201903,1162062500,26056102492.0,1468822.0
20191.0,201903,1162063000,19951786366.0,1018498.0
20191.0,201903,1162064500,47390740902.0,3007461.0
20191.0,201903,1162065500,10450903803.0,703084.0
20191.0,201903,1162066500,12741377717.0,962320.0
20191.0,201903,1162068500,25292575947.0,1461336.0
20191.0,201903,1162069500,49804991017.0,2652203.0
20191.0,201903,1162071500,3266666074.0,233171.0
20191.0,201903,1162072500,34176272135.0,1575927.0
20191.0,201903,1162073500,25033483538.0,2339885.0
20191.0,201903,1162074500,7785609116.0,356893.0
20191.0,201903,1162076500,19765654586.0,886931.0
20191.0,201903,1162077500,10002530272.0,748205.0
20191.0,201903,1165051000,60812520867.0,2780840.0
20191.0,201903,1165052000,91257052478.0,3740370.0
20191.0,201903,1165053000,138030095989.0,5175584.0
20191.0,201903,1165053100,149266107127.0,4668628.0
20191.0,201903,1165054000,51354896110.0,1896858.0
20191.0,201903,1165055000,2534022969.0,45307.0
20191.0,201903,1165056000,53204834344.0,2053243.0
20191.0,201903,1165057000,13531507277.0,512579.0
20191.0,201903,1165058000,64346175545.0,1805687.0
20191.0,201903,1165058100,69613199346.0,2035196.0
20191.0,201903,1165059000,38266853038.0,1516080.0
20191.0,201903,1165060000,52524649452.0,2196386.0
20191.0,201903,1165061000,37312681853.0,1037523.0
20191.0,201903,1165062000,21619564828.0,479106.0
20191.0,201903,1165062100,48857154630.0,1675840.0
20191.0,201903,1165065100,80192545247.0,3148893.0
20191.0,201903,1165065200,114059711717.0,5514954.0
20191.0,201903,1165066000,6655127945.0,132408.0
20191.0,201903,1168051000,248368193211.0,5355001.0
20191.0,201903,1168052100,237747687291.0,5533690.0
20191.0,201903,1168053100,134096186198.0,4759338.0
20191.0,201903,1168054500,220976842410.0,3289994.0
20191.0,201903,1168056500,215016968346.0,3186535.0
20191.0,201903,1168058000,347225172549.0,7909179.0
20191.0,201903,1168059000,90356951467.0,2688755.0
20191.0,201903,1168060000,73896102315.0,2066601.0
20191.0,201903,1168061000,94239217482.0,2953373.0
20191.0,201903,1168063000,124538433030.0,4861373.0
20191.0,201903,1168064000,432570208654.0,16877400.0
20191.0,201903,1168065000,81924014806.0,3932929.0
20191.0,201903,1168065500,53726326235.0,1698563.0
20191.0,201903,1168065600,44676431520.0,1776449.0
20191.0,201903,1168066000,130378290.0,1858.0
20191.0,201903,1168067000,14300149126.0,688616.0
20191.0,201903,1168069000,44787782279.0,1686852.0
20191.0,201903,1168070000,20633619693.0,891430.0
20191.0,201903,1168072000,10683707233.0,1627005.0
20191.0,201903,1168073000,20969377661.0,1128077.0
20191.0,201903,1168067500,2525860305.0,256659.0
20191.0,201903,1168075000,42436274481.0,2982211.0
20191.0,201903,1171051000,9214487000.0,499433.0
20191.0,201903,1171052000,19642435103.0,780364.0
20191.0,201903,1171053100,10221273785.0,448221.0
20191.0,201903,1171053200,18121426209.0,1006701.0
20191.0,201903,1171054000,12617655208.0,572352.0
20191.0,201903,1171055000,22744482839.0,1121198.0
20191.0,201903,1171056100,32593063172.0,1042871.0
20191.0,201903,1171056200,72615693476.0,3090511.0
20191.0,201903,1171056600,2860128611.0,227482.0
20191.0,201903,1171057000,59704761554.0,1520919.0
20191.0,201903,1171058000,47169032806.0,1618365.0
20191.0,201903,1171059000,19197374238.0,715491.0
20191.0,201903,1171060000,58367566586.0,2793309.0
20191.0,201903,1171061000,55883035730.0,2184058.0
20191.0,201903,1171062000,64315007567.0,2340167.0
20191.0,201903,1171063100,325366630306.0,5912480.0
20191.0,201903,1171063200,41109304621.0,1585828.0
20191.0,201903,1171064100,19200667589.0,855488.0
20191.0,201903,1171064200,98165253964.0,3769092.0
20191.0,201903,1171064600,21610264605.0,966876.0
20191.0,201903,1171064700,2189854922.0,170668.0
20191.0,201903,1171065000,103919160841.0,4357933.0
20191.0,201903,1171067000,31037673632.0,1428542.0
20191.0,201903,1171068000,28731339826.0,1620099.0
20191.0,201903,1171069000,6699082893.0,387170.0
20191.0,201903,1171071000,80895920633.0,3560391.0
20191.0,201903,1171072000,3378647610.0,114321.0
20191.0,201903,1174051500,8628606423.0,471104.0
20191.0,201903,1174053000,40334512243.0,2115611.0
20191.0,201903,1174054000,36458017317.0,1826298.0
20191.0,201903,1174055000,5402328689.0,273250.0
20191.0,201903,1174056000,7450717143.0,410144.0
20191.0,201903,1174057000,24431510848.0,1377032.0
20191.0,201903,1174058000,15738150317.0,817676.0
20191.0,201903,1174059000,11134426186.0,713629.0
20191.0,201903,1174060000,18245957786.0,895831.0
20191.0,201903,1174061000,108990413192.0,4001892.0
20191.0,201903,1174062000,27187647479.0,1182520.0
20191.0,201903,1174064000,33084324915.0,1228150.0
20191.0,201903,1174065000,30495737044.0,1308369.0
20191.0,201903,1174066000,53765021607.0,1970361.0
20191.0,201903,1174068500,67976192635.0,2845928.0
20191.0,201903,1174070000,17003912435.0,787566.0
20191.0,201904,1111051500,16003659173.0,801505.0
20191.0,201904,1111053000,63165563837.0,3016724.0
20191.0,201904,1111054000,21684149848.0,960546.0
20191.0,201904,1111055000,3076634045.0,182793.0
20191.0,201904,1111056000,8788944473.0,439324.0
20191.0,201904,1111057000,2420002499.0,169513.0
20191.0,201904,1111058000,3854388504.0,249776.0
20191.0,201904,1111060000,11931145618.0,781205.0
20191.0,201904,1111061500,426660191401.0,9762197.0
20191.0,201904,1111063000,81324641470.0,2091082.0
20191.0,201904,1111064000,28634965283.0,2375701.0
20191.0,201904,1111065000,44774804844.0,2493571.0
20191.0,201904,1111067000,80066698456.0,2235949.0
20191.0,201904,1111068000,8617164299.0,392431.0
20191.0,201904,1111069000,389920416.0,44643.0
20191.0,201904,1111070000,3784811611.0,355995.0
20191.0,201904,1111071000,22546032253.0,1313548.0
20191.0,201904,1114052000,73116417413.0,3009276.0
20191.0,201904,1114054000,163302213120.0,4056143.0
20191.0,201904,1114055000,220103344359.0,9558288.0
20191.0,201904,1114057000,27669947948.0,1510522.0
20191.0,201904,1114058000,18343288925.0,494720.0
20191.0,201904,1114059000,124014866786.0,3629068.0
20191.0,201904,1114060500,217913904226.0,5120496.0
20191.0,201904,1114061500,62238594609.0,1725865.0
20191.0,201904,1114062500,28384902417.0,1515798.0
20191.0,201904,1114063500,29683933578.0,1266869.0
20191.0,201904,1114064500,12831839055.0,392300.0
20191.0,201904,1114065000,16266868675.0,820008.0
20191.0,201904,1114066500,11755072419.0,647988.0
20191.0,201904,1114067000,37424103073.0,1036299.0
20191.0,201904,1114068000,28379272917.0,903841.0
20191.0,201904,1117051000,15737740998.0,792539.0
20191.0,201904,1117052000,9036257513.0,426559.0
20191.0,201904,1117053000,40203637988.0,1873508.0
20191.0,201904,1117055500,29633270470.0,1596606.0
20191.0,201904,1117056000,205217156079.0,1571645.0
20191.0,201904,1117057000,193175514192.0,698515.0
20191.0,201904,1117058000,8748582113.0,515720.0
20191.0,201904,1117059000,12561916184.0,488757.0
20191.0,201904,1117062500,949819972025.0,4964359.0
20191.0,201904,1117063000,28568981490.0,1121313.0
20191.0,201904,1117064000,3518298744.0,222382.0
20191.0,201904,1117065000,74554714723.0,3242419.0
20191.0,201904,1117066000,10558236072.0,411922.0
20191.0,201904,1117068500,60531567899.0,2195436.0
20191.0,201904,1117069000,6142993168.0,78799.0
20191.0,201904,1117070000,16995485280.0,910775.0
20191.0,201904,1120052000,8100009889.0,628317.0
20191.0,201904,1120053500,28162492295.0,1179229.0
20191.0,201904,1120054000,17813974200.0,841384.0
20191.0,201904,1120055000,34532320954.0,3388774.0
20191.0,201904,1120056000,33153411349.0,1488911.0
20191.0,201904,1120057000,11365990736.0,645501.0
20191.0,201904,1120058000,1302670776.0,44382.0
20191.0,201904,1120059000,5569178209.0,169425.0
20191.0,201904,1120061500,15409334230.0,760563.0
20191.0,201904,1120062000,7574730844.0,403489.0
20191.0,201904,1120064500,13105841190.0,972828.0
20191.0,201904,1120065000,19257566356.0,960361.0
20191.0,201904,1120066000,36565540861.0,1356345.0
20191.0,201904,1120067000,68632263425.0,11092411.0
20191.0,201904,1120069000,85142499156.0,3916711.0
20191.0,201904,1120072000,4382502368.0,326215.0
20191.0,201904,1120079000,25278424742.0,1265690.0
20191.0,201904,1121571000,80410409347.0,5187236.0
20191.0,201904,1121573000,34711459121.0,1946868.0
20191.0,201904,1121574000,30966601077.0,1135761.0
20191.0,201904,1121575000,30886468723.0,1421075.0
20191.0,201904,1121576000,12499202760.0,776915.0
20191.0,201904,1121577000,26700023484.0,1182943.0
20191.0,201904,1121578000,20054813998.0,760692.0
20191.0,201904,1121581000,23866308260.0,1183324.0
20191.0,201904,1121582000,27362829161.0,1471114.0
20191.0,201904,1121583000,12920565277.0,782522.0
20191.0,201904,1121584000,46811190859.0,2585954.0
20191.0,201904,1121584700,37649025217.0,1780899.0
20191.0,201904,1121585000,42786210851.0,1906436.0
20191.0,201904,1121586000,21200374770.0,1051509.0
20191.0,201904,1121587000,143349351034.0,3493017.0
20191.0,201904,1123053600,69620856562.0,2977149.0
20191.0,201904,1123054500,307533152477.0,5976216.0
20191.0,201904,1123056000,26338251013.0,1496613.0
20191.0,201904,1123057000,11430784666.0,1124723.0
20191.0,201904,1123060000,20578711668.0,709166.0
20191.0,201904,1123061000,20009817827.0,812055.0
20191.0,201904,1123065000,98612291764.0,2684923.0
20191.0,201904,1123066000,60823068020.0,2398735.0
20191.0,201904,1123070500,29730140794.0,1259936.0
20191.0,201904,1123071000,24727707381.0,1997005.0
20191.0,201904,1123072000,16933574869.0,959637.0
20191.0,201904,1123073000,12008326885.0,643770.0
20191.0,201904,1123074000,23957667858.0,2349841.0
20191.0,201904,1123075000,6109098382.0,417772.0
20191.0,201904,1126052000,14698681433.0,700103.0
20191.0,201904,1126054000,9770045358.0,473856.0
20191.0,201904,1126055000,9072948340.0,318488.0
20191.0,201904,1126056500,40650499116.0,2179286.0
20191.0,201904,1126057000,29628242129.0,1702429.0
20191.0,201904,1126057500,25650667101.0,1549905.0
20191.0,201904,1126058000,52618659251.0,1417957.0
20191.0,201904,1126059000,48977336282.0,2445053.0
20191.0,201904,1126060000,7641494479.0,347025.0
20191.0,201904,1126061000,32109003932.0,1282445.0
20191.0,201904,1126062000,26078058590.0,1249344.0
20191.0,201904,1126063000,22281371995.0,1275346.0
20191.0,201904,1126065500,46332495657.0,2003996.0
20191.0,201904,1126066000,9892040115.0,518890.0
20191.0,201904,1126068000,41610173786.0,1506162.0
20191.0,201904,1126069000,21519604084.0,1170666.0
