YYYYMM,행정동_ID,승객_수
202603,11160650,69455
202603,11160660,61179
202603,11160670,794672
202603,11160690,513000
202603,11160700,871157
202603,11160710,1445898
202603,11160720,265457
202603,11160730,2332618
202603,11160740,1108118
202603,11170510,2157303
202603,11170520,117836
202603,11170540,2784914
202603,11170550,241957
202603,11170560,745759
202603,11170610,403519
202603,11170620,293711
202603,11170640,357042
202603,11170650,129255
202603,11170670,446109
202603,11170690,809676
202603,11170700,223958
202603,11170710,839242
202603,11170720,1003286
202603,11170730,649230
202603,11170740,103605
202603,11180510,2520875
202603,11180520,778401
202603,11180530,303198
202603,11180540,461938
202603,11180550,336221
202603,11180570,716946
202603,11180580,182022
202603,11180590,107194
202603,11180600,220291
202603,11180610,346062
202603,11190540,4526689
202603,11190550,1131437
202603,11190560,1752800
202603,11190610,423575
202603,11190620,588559
202603,11190630,620425
202603,11190650,201538
202603,11190660,139301
202603,11190670,125879
202603,11190680,608516
202603,11190690,634652
202603,11190700,188228
202603,11190710,158061
202603,11190720,1291141
202603,11190730,871008
202603,11190740,1560888
202603,11190750,166457
202603,11190760,1073103
202603,11200520,451816
202603,11200530,1946064
202603,11200540,684584
202603,11200550,280036
202603,11200560,231845
202603,11200630,292186
202603,11200650,210113
202603,11200660,383938
202603,11200670,137255
202603,11200680,1456633
202603,11200690,202434
202603,11200700,625318
202603,11200710,987341
202603,11200720,2010908
202603,11200730,1698140
202603,11210520,402452
202603,11210540,123434
202603,11210570,486389
202603,11210580,567244
202603,11210610,298741
202603,11210620,1095879
202603,11210630,2413360
202603,11210640,2538337
202603,11210650,84111
202603,11210660,570804
202603,11210680,930883
202603,11210690,739824
202603,11210710,173863
202603,11210720,826018
202603,11210730,1070214
202603,11210780,460217
202603,11210790,305119
202603,11210800,2782580
202603,11210810,324255
202603,11210820,309847
202603,11210830,479924
202603,11220510,1711249
202603,11220520,4201326
202603,11220530,2391943
202603,11220540,467091
202603,11220550,537691
202603,11220560,135920
202603,11220570,717800
202603,11220580,406320
202603,11220590,440923
202603,11220600,3165717
202603,11220610,225960
202603,11220620,726729
202603,11220630,309274
202603,11220640,870627
202603,11220650,320483
202603,11220660,2701638
202603,11220670,886399
202603,11220680,378462
202603,11230510,376106
202603,11230511,440274
202603,11230520,3368194
202603,11230530,1732683
202603,11230580,1928944
202603,11230590,1069662
202603,11230600,452297
202603,11230630,2267319
202603,11230640,4832444
202603,11230650,568046
202603,11230660,768935
202603,11230670,994871
202603,11230680,184680
202603,11230710,239658
202603,11230720,619186
202603,11230730,104051
202603,11230750,1638175
202603,11230760,545558
202603,11230770,2052107
202603,11230780,633648
202603,11230790,2654038
202603,11230800,551039
202603,11240510,131809
202603,11240520,196593
202603,11240530,408917
202603,11240540,107059
202603,11240550,321815
202603,11240560,192728
202603,11240570,358107
202603,11240580,426366
202603,11240590,849786
202603,11240600,658151
202603,11240610,598857
202603,11240620,76230
202603,11240630,911828
202603,11240640,235345
202603,11240650,304380
202603,11240660,1083553
202603,11240670,630927
202603,11240680,154645
202603,11240690,1277674
202603,11240710,599485
202603,11240750,819780
202603,11240770,3628996
202603,11240780,663108
202603,11240790,880466
202603,11240800,555016
202603,11240810,876237
202603,11240820,479145
202603,11250530,473010
202603,11250540,483841
202603,11250550,124605
202603,11250560,259260
202603,11250580,542615
202603,11250590,311228
202603,11250610,424877
202603,11250630,155398
202603,11250650,501018
202603,11250660,2020021
202603,11250670,153390
202603,11250700,649590
202603,11250710,615781
202603,11250720,93314
202603,11250730,315563
202603,11250740,616790
202603,11250750,307225
202603,11250760,793467
202603,11250770,72707
202604,11010530,2876466
202604,11010540,164978
202604,11010550,356414
202604,11010560,287990
202604,11010570,66363
202604,11010580,331491
202604,11010600,76045
202604,11010610,6016908
202604,11010630,2193585
202604,11010640,1727723
202604,11010670,347458
202604,11010680,5635
202604,11010690,164417
202604,11010700,212217
202604,11010710,854084
202604,11010720,283102
202604,11010730,650231
202604,11020520,2700211
202604,11020540,6556927
202604,11020550,3626572
202604,11020570,1296478
202604,11020580,575562
202604,11020590,1700948
202604,11020600,2033556
202604,11020650,199022
202604,11020670,137167
202604,11020680,149820
202604,11020690,909197
202604,11020700,123749
202604,11020710,717123
202604,11020720,82264
202604,11020730,270386
202604,11030510,218265
202604,11030520,728372
202604,11030530,1396873
202604,11030570,184117
202604,11030580,476266
202604,11030590,94555
202604,11030630,211729
202604,11030640,85746
202604,11030650,616464
202604,11030660,141965
202604,11030690,299818
202604,11030700,103877
202604,11030710,271706
202604,11030720,297431
202604,11030730,3396561
202604,11030740,1248033
202604,11040520,596017
202604,11040540,386843
202604,11040550,757473
202604,11040560,1455465
202604,11040570,430297
202604,11040580,170201
202604,11040590,332004
202604,11040620,505738
202604,11040650,465538
202604,11040660,936986
202604,11040670,210722
202604,11040680,1918528
202604,11040690,96418
202604,11040700,1447272
202604,11040710,260571
202604,11040720,165407
202604,11040730,548243
202604,11050530,2128674
202604,11050540,340317
202604,11050550,155074
202604,11050560,183854
202604,11050570,507571
202604,11050580,111962
202604,11050590,1727181
202604,11050600,1138251
202604,11050610,765156
202604,11050620,1072538
202604,11050630,571757
202604,11050640,187748
202604,11050650,239509
202604,11050660,212323
202604,11050670,612937
202604,11060710,291310
202604,11060720,1062241
202604,11060730,399537
202604,11060800,432368
202604,11060810,2340724
202604,11060820,1044088
202604,11060830,1848586
202604,11060840,302367
202604,11060860,345453
202604,11060870,642579
202604,11060880,486702
202604,11060890,633046
202604,11060900,307678
202604,11060910,248581
202604,11070520,217576
202604,11070540,343320
202604,11070550,151338
202604,11070570,209318
202604,11070590,210620
202604,11070600,1258510
202604,11070610,112586
202604,11070620,818366
202604,11070640,240224
202604,11070650,430205
202604,11070680,150122
202604,11070690,767681
202604,11070700,313644
202604,11070710,912938
202604,11070720,871449
202604,11070730,652708
202604,11080580,451081
202604,11080590,171779
202604,11080600,800682
202604,11080610,551163
202604,11080620,450297
202604,11080630,337026
202604,11080640,351457
202604,11080650,701752
202604,11080660,1239564
202604,11080680,336036
202604,11080710,351846
202604,11080720,814147
202604,11080760,268736
202604,11080770,578415
202604,11080780,220411
202604,11080810,487529
202604,11080820,2158670
202604,11080830,594526
202604,11080840,627800
202604,11080850,961965
202604,11090600,1758549
202604,11090610,275047
202604,11090620,227165
202604,11090630,522958
202604,11090640,370715
202604,11090650,649395
202604,11090690,551039
202604,11090700,867988
202604,11090710,1013221
202604,11090720,1278265
202604,11090730,256294
202604,11090740,682668
202604,11090750,288310
202604,11100510,260442
202604,11100520,292990
202604,11100530,249297
202604,11100540,202069
202604,11100550,509792
202604,11100560,144244
202604,11100570,264932
202604,11100590,1397511
202604,11100600,233586
202604,11100610,168805
202604,11100620,349999
202604,11100630,1082804
202604,11100640,337573
202604,11100650,731499
202604,11110510,393697
202604,11110520,380613
202604,11110530,401538
202604,11110560,818859
202604,11110580,345917
202604,11110590,767613
202604,11110600,281229
202604,11110610,205773
202604,11110640,206040
202604,11110650,626186
202604,11110660,1680376
202604,11110690,813389
202604,11110720,497201
202604,11110730,117053
202604,11110740,221334
202604,11110760,384617
202604,11110770,396559
202604,11110780,777457
202604,11110790,1189075
202604,11120510,1019595
202604,11120520,593487
202604,11120550,1354527
202604,11120560,571508
202604,11120570,300008
202604,11120580,1302408
202604,11120590,542285
202604,11120600,208053
202604,11120650,876741
202604,11120660,616114
202604,11120670,571342
202604,11120680,316696
202604,11120710,1448810
202604,11120720,349063
202604,11120730,390143
202604,11120740,481967
202604,11130520,611139
202604,11130620,1323440
202604,11130640,319695
202604,11130650,184449
202604,11130660,238154
202604,11130680,768833
202604,11130690,431773
202604,11130700,444570
202604,11130710,187796
202604,11130720,341482
202604,11130730,1515881
202604,11130740,227079
202604,11130750,2869718
202604,11130760,998339
202604,11140590,627140
202604,11140600,1516724
202604,11140610,131205
202604,11140630,60879
202604,11140660,6905690
202604,11140680,229551
202604,11140690,237746
202604,11140700,159241
202604,11140710,259848
202604,11140720,254938
202604,11140730,1021071
202604,11140740,1896739
202604,11140750,256914
202604,11140760,881971
202604,11140770,1711109
202604,11140780,968376
202604,11150510,1863787
202604,11150520,930919
202604,11150530,687660
202604,11150540,284793
202604,11150570,132260
202604,11150580,217870
202604,11150590,111389
202604,11150600,179880
202604,11150610,129340
202604,11150620,162762
202604,11150630,179876
202604,11150640,194144
202604,11150650,105038
202604,11150660,864708
202604,11150690,175271
202604,11150700,393067
202604,11150710,476793
202604,11150720,919600
202604,11160510,419678
202604,11160520,488726
202604,11160530,240932
202604,11160540,1068969
202604,11160550,279160
202604,11160570,151635
202604,11160580,134391
202604,11160590,163554
202604,11160610,457981
202604,11160630,252388
202604,11160640,1793143
202604,11160650,69895
202604,11160660,63576
202604,11160670,805434
202604,11160690,515405
202604,11160700,878906
202604,11160710,1416689
202604,11160720,275109
202604,11160730,2371468
202604,11160740,1117232
202604,11170510,2208325
202604,11170520,119435
202604,11170540,2818911
202604,11170550,242739
202604,11170560,755225
202604,11170610,440962
202604,11170620,298306
202604,11170640,357509
202604,11170650,130161
202604,11170670,454454
202604,11170690,831980
202604,11170700,229586
202604,11170710,891815
202604,11170720,1019937
202604,11170730,664255
202604,11170740,110325
202604,11180510,2582367
202604,11180520,797857
202604,11180530,305463
202604,11180540,465439
202604,11180550,336265
202604,11180570,729216
202604,11180580,190757
202604,11180590,109295
202604,11180600,224760
202604,11180610,353736
202604,11190540,5119042
202604,11190550,1148480
202604,11190560,1852346
202604,11190610,443113
202604,11190620,622804
202604,11190630,637048
202604,11190650,203875
202604,11190660,144073
202604,11190670,127919
202604,11190680,615495
202604,11190690,653538
202604,11190700,189677
202604,11190710,159674
202604,11190720,1284489
202604,11190730,867420
202604,11190740,1576228
202604,11190750,166748
202604,11190760,1078522
202604,11200520,463385
202604,11200530,1955608
202604,11200540,701089
202604,11200550,284904
202604,11200560,237521
202604,11200630,295748
202604,11200650,212471
202604,11200660,386514
202604,11200670,139519
202604,11200680,1490163
202604,11200690,208029
202604,11200700,651176
202604,11200710,1002325
202604,11200720,2055119
202604,11200730,1745975
202604,11210520,410535
202604,11210540,125180
202604,11210570,492192
202604,11210580,560512
202604,11210610,300589
202604,11210620,1094316
202604,11210630,2419086
202604,11210640,2552371
202604,11210650,83855
202604,11210660,577467
202604,11210680,947554
202604,11210690,745419
202604,11210710,177025
202604,11210720,830580
202604,11210730,1061836
202604,11210780,464111
202604,11210790,315019
202604,11210800,2766937
202604,11210810,325766
202604,11210820,313196
202604,11210830,487628
202604,11220510,1736621
202604,11220520,4231816
202604,11220530,2426572
202604,11220540,474238
202604,11220550,555861
202604,11220560,142984
202604,11220570,738509
202604,11220580,433438
202604,11220590,465322
202604,11220600,3234485
202604,11220610,229955
202604,11220620,737765
202604,11220630,316342
202604,11220640,880167
202604,11220650,327055
202604,11220660,2778818
202604,11220670,970881
202604,11220680,400256
202604,11230510,395459
202604,11230511,451582
202604,11230520,3405165
202604,11230530,1756986
202604,11230580,1966390
202604,11230590,1106786
202604,11230600,452057
202604,11230630,2312282
202604,11230640,4912253
202604,11230650,588637
202604,11230660,804440
202604,11230670,1005007
202604,11230680,189565
202604,11230710,241993
202604,11230720,631726
202604,11230730,105758
202604,11230750,1666832
202604,11230760,561072
202604,11230770,2064774
202604,11230780,647781
202604,11230790,2695313
202604,11230800,548780
202604,11240510,134690
202604,11240520,202629
202604,11240530,414666
202604,11240540,108416
202604,11240550,329405
202604,11240560,195136
202604,11240570,362710
202604,11240580,445351
202604,11240590,859672
202604,11240600,674977
202604,11240610,639707
202604,11240620,78432
202604,11240630,964617
202604,11240640,239270
202604,11240650,313182
202604,11240660,1096245
202604,11240670,640816
202604,11240680,157427
202604,11240690,1314813
202604,11240710,608276
202604,11240750,871286
202604,11240770,3985529
202604,11240780,906823
202604,11240790,932605
202604,11240800,588826
202604,11240810,896926
202604,11240820,489480
202604,11250530,474365
202604,11250540,489838
202604,11250550,127302
202604,11250560,262510
