YYYYMM,행정동코드,생활비용지수,생활비용지수_lag1,생활비용지수_lag2,생활비용지수_lag3,생활비용지수_roll3_mean,생활비용지수_roll3_std,생활비용지수_change1,생활비용지수_change3_mean,YEAR,MONTH,MONTH_SIN,MONTH_COS,KOSPI_lag1,M2_lag1,FX_lag1,HOUSE_SALE_lag1,RENT_SALE_lag1,당월_매출_금액_lag1,생활인구합계_lag1,전체승객수_lag1,아파트_평균_시가_lag1,AREA_M2,LAT,LON,아파트_단지_수,아파트_면적_66_제곱미터_미만_세대_수,아파트_면적_66_제곱미터_세대_수,아파트_면적_99_제곱미터_세대_수,아파트_면적_132_제곱미터_세대_수,아파트_면적_165_제곱미터_세대_수,아파트_평균_면적
202411,1111065000,9.09273695350561,9.068268168889716,9.07858902221318,9.109311582849449,9.08538959131745,0.021350088113962763,-0.0011368345123026202,0.005916345903983007,2024,11,-0.5000000000000004,0.8660254037844384,2596.11,3857079.5,1361.0,92.177,96.754,55065019000.0,19211004.0,625466.0,189567695.0,1164691,126.99769,37.58747,308,1681,533.0,94,43.0,23.0,57.0
202411,1111067000,10.01778348384028,9.96929016452229,9.94484115871459,9.944537904561669,9.952889742599517,0.014203991347647904,0.00245846116770565,0.03258878987825716,2024,11,-0.5000000000000004,0.8660254037844384,2596.11,3857079.5,1361.0,92.177,96.754,71494287880.0,5304730.0,332320.0,210739429.0,313832,127.01402,37.57226,24,147,50.0,0,0.0,0.0,48.0
202411,1111068000,8.947414944888221,8.931838869845272,8.941940093863217,8.760749182275372,8.878176048661286,0.10181999014720441,-0.001129645682247049,-0.030921729061433312,2024,11,-0.5000000000000004,0.8660254037844384,2596.11,3857079.5,1361.0,92.177,96.754,13029810718.0,4700062.0,6885.0,133709885.0,249894,127.01025,37.57575,214,1231,87.0,12,4.0,1.0,49.0
202411,1111069000,7.662768273105135,7.660922485483568,7.702415676682753,7.9768624708648765,7.780066877677066,0.17168809030500554,-0.005387036085938046,-0.04702285526576196,2024,11,-0.5000000000000004,0.8660254037844384,2596.11,3857079.5,1361.0,92.177,96.754,476145360.0,3639307.0,151804.0,320701236.0,220395,127.01321,37.57882,26,129,91.0,42,0.0,0.0,65.0
202411,1111070000,8.614625124433976,8.595070354847417,8.614773367724043,8.563779739863197,8.591207820811553,0.025715304732517718,-0.002287119119168568,0.032358323453122916,2024,11,-0.5000000000000004,0.8660254037844384,2596.11,3857079.5,1361.0,92.177,96.754,3920380384.0,4617448.0,213042.0,271960677.0,237128,127.01686,37.57723,44,228,89.0,34,0.0,0.0,58.0
202411,1111071000,9.21681799108066,9.216387705221004,9.26034679203212,9.106988474952136,9.19457432406842,0.07897190039743382,-0.004747023820850793,0.024299671765584636,2024,11,-0.5000000000000004,0.8660254037844384,2596.11,3857079.5,1361.0,92.177,96.754,29155131783.0,9510014.0,814339.0,167074058.0,321465,127.02064,37.57431,181,1175,239.0,16,0.0,0.0,52.0
202411,1114052000,9.91253242243018,9.92157868129024,9.965423237361485,9.853335577231933,9.91344583196122,0.0564846732927256,-0.004399668235551268,0.02825012227422145,2024,11,-0.5000000000000004,0.8660254037844384,2596.11,3857079.5,1361.0,92.177,96.754,166000000000.0,25814603.0,2654829.0,489545455.0,935656,126.97436,37.5643,4,32,12.0,0,0.0,0.0,52.0
202411,1114054000,9.96389711576604,9.945265070979822,9.997994521342177,9.989711565033817,9.977657052451939,0.028356343012966346,-0.005274002726226357,0.0013275895122063879,2024,11,-0.5000000000000004,0.8660254037844384,2596.11,3857079.5,1361.0,92.177,96.754,231000000000.0,25556757.0,4555312.0,389399554.0,892974,126.97671,37.55697,19,86,45.0,14,18.0,20.0,85.0
202411,1114055000,9.785679874999,9.776772713397966,9.80108330690905,9.772093567496135,9.783316529267717,0.015563334874315065,-0.0024803986202164285,-0.008491062932812618,2024,11,-0.5000000000000004,0.8660254037844384,2596.11,3857079.5,1361.0,92.177,96.754,244000000000.0,35807048.0,3393854.0,355854515.0,1006850,126.98436,37.56373,7,34,12.0,1,5.0,7.0,72.0
202411,1114057000,9.172931478299985,9.156051661879674,9.186955134407889,9.133317782348334,9.158774859545298,0.026922170011622188,-0.003363842761403224,-0.020669581492121687,2024,11,-0.5000000000000004,0.8660254037844384,2596.11,3857079.5,1361.0,92.177,96.754,36902431236.0,12529705.0,1162876.0,248890227.0,1478522,126.99385,37.5568,31,175,54.0,26,5.0,5.0,63.0
