YYYYMM,행정동코드,생활비용지수
202411,1120079000,9.232071447761678
202411,1121571000,9.28485496450215
202411,1121573000,9.075346821057414
202411,1121574000,9.369870472734997
202411,1121575000,9.111356960590616
202411,1121576000,8.894467707156604
202411,1121577000,8.697470879190307
202411,1121578000,9.196958747193577
202411,1121581000,8.998951996453412
202411,1121582000,9.105796411297458
202411,1121583000,8.66609780461235
202411,1121584000,9.149593444298768
202411,1121584700,9.15736145493782
202411,1121585000,9.318285075797254
202411,1121586000,8.848640990166148
202411,1121587000,9.53101513191422
202411,1123053600,9.37502762353944
202411,1123054500,10.439157877629382
202411,1123056000,9.01834236968762
202411,1123057000,8.715688585534087
202411,1123060000,9.106029405106682
202411,1123061000,8.868610888192194
202411,1123065000,9.573459462951297
202411,1123066000,9.350182130147736
202411,1123070500,9.278290526585804
202411,1123071000,9.001251200885624
202411,1123072000,9.018395990801915
202411,1123073000,8.545600155618835
202411,1123074000,8.805964919976551
202411,1123075000,8.46376137388747
202411,1126052000,8.721879645170945
202411,1126054000,8.60156359804428
202411,1126055000,8.544049120051742
202411,1126056500,9.019522606805664
202411,1126057000,9.119819556475184
202411,1126057500,8.917261990373294
202411,1126058000,8.548703456454144
202411,1126059000,9.356763824590592
202411,1126060000,8.752821402220686
202411,1126061000,9.07476433614328
202411,1126062000,8.949447957350099
202411,1126063000,8.90656929884342
202411,1126065500,8.96295182387974
202411,1126066000,8.777979420394097
202411,1126068000,8.762397312458146
202411,1126069000,9.190769414966333
202411,1129052500,8.872235556591239
202411,1129055500,9.335536496038912
202411,1129057500,9.299772470585443
202411,1129058000,8.689452026493647
202411,1129059000,8.804289995690011
202411,1129060000,8.878330840162311
202411,1129061000,8.701515868962717
202411,1129062000,8.703224855671566
202411,1129063000,8.503137708887786
202411,1129064000,8.480680237180566
202411,1129065000,8.648907463217448
202411,1129066000,8.551935835248957
202411,1129068500,8.943123521718746
202411,1129070500,8.811361666276898
202411,1129071500,8.779036324581428
202411,1129072500,8.92603404329397
202411,1129076000,8.32777912449579
202411,1129077000,8.832701594333495
202411,1129078000,8.648320810163689
202411,1129081000,8.982563786711692
202411,1130553400,8.572558219037425
202411,1130553500,9.088339502775309
202411,1130554500,9.217774763031835
202411,1130555500,9.04673931076998
202411,1130557500,8.616662608305644
202411,1130559500,9.34196062000195
202411,1130560300,8.109104552330011
202411,1130560800,8.711947419888116
