행정동_ID,행정동코드,행정동_명칭,자치구_명칭
11150690,1147067000,신정6동,양천구
11150700,1147068000,신정7동,양천구
11160510,1150051000,염창동,강서구
11160520,1150052000,등촌1동,강서구
11160530,1150053000,등촌2동,강서구
11160540,1150053500,등촌3동,강서구
11160730,1150054000,화곡1동,강서구
11160570,1150055000,화곡2동,강서구
11160580,1150056000,화곡3동,강서구
11160590,1150057000,화곡4동,강서구
11160550,1150059000,화곡본동,강서구
11160610,1150059100,화곡6동,강서구
11160630,1150059300,화곡8동,강서구
11160640,1150060300,가양1동,강서구
11160650,1150060400,가양2동,강서구
11160660,1150060500,가양3동,강서구
11160670,1150061100,발산1동,강서구
11160740,1150061500,우장산동,강서구
11160690,1150062000,공항동,강서구
11160700,1150063000,방화1동,강서구
11160710,1150064000,방화2동,강서구
11160720,1150064100,방화3동,강서구
11170510,1153051000,신도림동,구로구
11170520,1153052000,구로1동,구로구
11170710,1153053000,구로2동,구로구
11170540,1153054000,구로3동,구로구
11170550,1153055000,구로4동,구로구
11170560,1153056000,구로5동,구로구
11170700,1153059500,가리봉동,구로구
11170610,1153072000,고척1동,구로구
11170620,1153073000,고척2동,구로구
11170720,1153074000,개봉1동,구로구
11170640,1153075000,개봉2동,구로구
11170650,1153076000,개봉3동,구로구
11170670,1153077000,오류1동,구로구
11170730,1153078000,오류2동,구로구
11170740,1153080000,항동,구로구
11170690,1153079000,수궁동,구로구
11180510,1154551000,가산동,금천구
11180520,1154561000,독산1동,금천구
11180530,1154562000,독산2동,금천구
11180540,1154563000,독산3동,금천구
11180550,1154564000,독산4동,금천구
11180570,1154567000,시흥1동,금천구
11180580,1154568000,시흥2동,금천구
11180590,1154569000,시흥3동,금천구
11180600,1154570000,시흥4동,금천구
11180610,1154571000,시흥5동,금천구
11190730,1156051500,영등포본동,영등포구
11190740,1156053500,영등포동,영등포구
11190540,1156054000,여의동,영등포구
11190550,1156055000,당산1동,영등포구
11190560,1156056000,당산2동,영등포구
11190750,1156058500,도림동,영등포구
11190760,1156060500,문래동,영등포구
11190610,1156061000,양평1동,영등포구
11190620,1156062000,양평2동,영등포구
11190630,1156063000,신길1동,영등포구
11190650,1156065000,신길3동,영등포구
11190660,1156066000,신길4동,영등포구
11190670,1156067000,신길5동,영등포구
11190680,1156068000,신길6동,영등포구
11190690,1156069000,신길7동,영등포구
11190700,1156070000,대림1동,영등포구
11190710,1156071000,대림2동,영등포구
11190720,1156072000,대림3동,영등포구
11200720,1159051000,노량진1동,동작구
11200520,1159052000,노량진2동,동작구
11200530,1159053000,상도1동,동작구
11200540,1159054000,상도2동,동작구
11200550,1159055000,상도3동,동작구
11200560,1159056000,상도4동,동작구
11200710,1159060500,흑석동,동작구
11200630,1159062000,사당1동,동작구
11200730,1159063000,사당2동,동작구
11200650,1159064000,사당3동,동작구
11200660,1159065000,사당4동,동작구
11200670,1159065100,사당5동,동작구
11200680,1159066000,대방동,동작구
11200690,1159067000,신대방1동,동작구
11200700,1159068000,신대방2동,동작구
11210520,1162052500,보라매동,관악구
11210540,1162054500,청림동,관악구
11210790,1162056500,성현동,관악구
11210570,1162057500,행운동,관악구
11210580,1162058500,낙성대동,관악구
11210800,1162059500,청룡동,관악구
11210780,1162060500,은천동,관악구
11210610,1162061500,중앙동,관악구
11210620,1162062500,인헌동,관악구
11210630,1162063000,남현동,관악구
11210640,1162064500,서원동,관악구
11210650,1162065500,신원동,관악구
11210660,1162066500,서림동,관악구
11210680,1162068500,신사동,관악구
11210690,1162069500,신림동,관악구
11210710,1162071500,난향동,관악구
11210720,1162072500,조원동,관악구
11210730,1162073500,대학동,관악구
11210820,1162074500,삼성동,관악구
11210830,1162076500,미성동,관악구
11210810,1162077500,난곡동,관악구
11220510,1165051000,서초1동,서초구
11220520,1165052000,서초2동,서초구
11220530,1165053000,서초3동,서초구
11220540,1165053100,서초4동,서초구
11220550,1165054000,잠원동,서초구
11220560,1165055000,반포본동,서초구
