기준_년분기_코드,행정동코드,당월_매출_금액,당월_매출_건수
20191,1168056500,215016968346,3186535
20191,1168058000,347225172549,7909179
20191,1168059000,90356951467,2688755
20191,1168060000,73896102315,2066601
20191,1168061000,94239217482,2953373
20191,1168063000,124538433030,4861373
20191,1168064000,432570208654,16877400
20191,1168065000,81924014806,3932929
20191,1168065500,53726326235,1698563
20191,1168065600,44676431520,1776449
20191,1168066000,130378290,1858
20191,1168067000,14300149126,688616
20191,1168069000,44787782279,1686852
20191,1168070000,20633619693,891430
20191,1168072000,10683707233,1627005
20191,1168073000,20969377661,1128077
20191,1168074000,2525860305,256659
20191,1168075000,42436274481,2982211
20191,1171051000,9214487000,499433
20191,1171052000,19642435103,780364
20191,1171053100,10221273785,448221
20191,1171053200,18121426209,1006701
20191,1171054000,12617655208,572352
20191,1171055000,22744482839,1121198
20191,1171056100,32593063172,1042871
20191,1171056200,72615693476,3090511
20191,1171056600,2860128611,227482
20191,1171057000,59704761554,1520919
20191,1171058000,47169032806,1618365
20191,1171059000,19197374238,715491
20191,1171060000,58367566586,2793309
20191,1171061000,55883035730,2184058
20191,1171062000,64315007567,2340167
20191,1171063100,325366630306,5912480
20191,1171063200,41109304621,1585828
20191,1171064100,19200667589,855488
20191,1171064200,98165253964,3769092
20191,1171064600,21610264605,966876
20191,1171064700,2189854922,170668
20191,1171065000,103919160841,4357933
20191,1171067000,31037673632,1428542
20191,1171068000,28731339826,1620099
20191,1171069000,6699082893,387170
20191,1171071000,80895920633,3560391
20191,1171072000,3378647610,114321
20191,1174051500,8628606423,471104
20191,1174052000,8651786058,481035
20191,1174053000,40334512243,2115611
20191,1174054000,36458017317,1826298
20191,1174055000,5402328689,273250
20191,1174056000,7450717143,410144
20191,1174057000,24431510848,1377032
20191,1174058000,15738150317,817676
20191,1174059000,11134426186,713629
20191,1174060000,18245957786,895831
20191,1174061000,108990413192,4001892
20191,1174062000,27187647479,1182520
20191,1174064000,33084324915,1228150
20191,1174065000,30495737044,1308369
20191,1174066000,53765021607,1970361
20191,1174068500,67976192635,2845928
20191,1174070000,17003912435,787566
20192,1111051500,16874853653,875427
20192,1111053000,66592862707,3285434
20192,1111054000,24183509046,1113511
20192,1111055000,3758513943,233809
20192,1111056000,9794588122,492503
20192,1111057000,3803366337,410243
20192,1111058000,3977825944,274215
20192,1111060000,13986937357,864559
20192,1111061500,435567614129,10381865
20192,1111063000,84935921838,2286156
20192,1111064000,30215950567,2727681
20192,1111065000,45027253896,2677265
20192,1111067000,77471535794,2325187
20192,1111068000,8991359283,418737
20192,1111069000,415081609,46990
20192,1111070000,4077625454,388837
20192,1111071000,22723508693,1443627
20192,1114052000,77895290955,3383848
20192,1114054000,175785187795,4484799
20192,1114055000,225122751545,10220140
20192,1114057000,29401995502,1737710
20192,1114058000,17942394600,561076
20192,1114059000,120666365649,3792225
20192,1114060500,250313347749,5458961
20192,1114061500,64624152921,1977819
20192,1114062500,30437070419,1565979
20192,1114063500,30672925237,1319741
20192,1114064500,13614579243,435036
20192,1114065000,16797298889,876198
20192,1114066500,14750678697,749362
20192,1114067000,43531785678,1128052
20192,1114068000,34540401271,960581
20192,1117051000,18208119407,892533
20192,1117052000,9587990500,480007
20192,1117053000,43071378054,2057550
20192,1117055500,30055874300,1866530
20192,1117056000,184015133421,1615830
20192,1117057000,159302002372,691823
20192,1117058000,9004240134,554366
20192,1117059000,13327781200,524073
20192,1117062500,818612611609,4742425
20192,1117063000,30044948536,1239989
20192,1117064000,4340734222,247394
20192,1117065000,75861067108,3446493
20192,1117066000,11554907183,460770
20192,1117068500,67091820905,2442939
20192,1117069000,5582542004,88083
20192,1117070000,17797619534,976373
20192,1120052000,8246599389,646224
20192,1120053500,27995045134,1277010
20192,1120054000,17596030022,912178
20192,1120055000,37411419968,3909826
20192,1120056000,34852172245,1602290
20192,1120057000,11536717462,695309
20192,1120058000,1432057359,50198
20192,1120059000,5482564664,180280
20192,1120061500,16271799900,844560
20192,1120062000,7950542798,446683
20192,1120064500,13452480354,1035488
20192,1120065000,20034461070,1124673
20192,1120066000,39490097503,1544339
20192,1120067000,60838975597,15528215
20192,1120069000,88438186661,4076915
20192,1120072000,4718554982,361411
20192,1120079000,27001834014,1428561
20192,1121571000,83771225145,5857326
20192,1121573000,38197021923,2169364
20192,1121574000,31487722610,1199757
20192,1121575000,32743418725,1551180
20192,1121576000,13015639372,805413
20192,1121577000,27001258063,1294165
