기준_년분기_코드,YYYYMM,행정동코드,행정동_코드_명,아파트_단지_수,아파트_면적_66_제곱미터_미만_세대_수,아파트_면적_66_제곱미터_세대_수,아파트_면적_99_제곱미터_세대_수,아파트_면적_132_제곱미터_세대_수,아파트_면적_165_제곱미터_세대_수,아파트_평균_면적,아파트_평균_시가
20242.0,202406,1129058000,돈암1동,90,364,386,123,0,0,68,335447080
20242.0,202406,1129059000,돈암2동,130,526,515,175,197,0,78,419147665
20242.0,202406,1129060000,안암동,131,949,187,114,13,17,56,192016146
20242.0,202406,1129061000,보문동,128,828,394,35,1,0,57,253619175
20242.0,202406,1129062000,정릉1동,129,682,427,98,0,0,64,282449873
20242.0,202406,1129063000,정릉2동,445,2838,1124,127,19,1,61,172918375
20242.0,202406,1129064000,정릉3동,227,1901,531,35,15,2,55,137578168
20242.0,202406,1129065000,정릉4동,375,2178,1179,275,9,2,63,191431798
20242.0,202406,1129066000,길음1동,168,731,885,387,24,0,80,555071069
20242.0,202406,1129068500,길음2동,64,350,223,80,14,13,72,503395171
20242.0,202406,1129070500,종암동,324,2208,761,209,22,0,60,262472736
20242.0,202406,1129071500,월곡1동,165,1084,547,182,0,0,65,327301568
20242.0,202406,1129072500,월곡2동,112,693,344,160,8,0,62,258710010
20242.0,202406,1129076000,장위1동,481,3756,437,21,2,2,50,155488309
20242.0,202406,1129077000,장위2동,202,1368,311,12,2,0,53,179903942
20242.0,202406,1129078000,장위3동,85,506,355,45,0,0,63,326278598
20242.0,202406,1129081000,석관동,402,2693,485,69,72,12,51,200562779
20242.0,202406,1130553400,삼양동,389,2708,604,63,0,0,54,154930571
20242.0,202406,1130553500,미아동,445,3292,402,19,11,1,48,135422312
20242.0,202406,1130554500,송중동,518,3187,768,122,2,0,54,173873411
20242.0,202406,1130555500,송천동,374,2363,451,42,0,1,51,191442343
20242.0,202406,1130557500,삼각산동,132,460,695,382,0,0,84,526437193
20242.0,202406,1130559500,번1동,202,1605,199,0,1,0,49,128086833
20242.0,202406,1130560300,번2동,501,3742,177,18,1,0,45,101304348
20242.0,202406,1130560800,번3동,90,672,315,30,6,0,58,229654462
20242.0,202406,1130561500,수유1동,472,3733,556,16,1,0,50,125457938
20242.0,202406,1130562500,수유2동,382,3108,508,79,2,0,52,139567075
20242.0,202406,1130563500,수유3동,389,3189,317,13,2,0,50,125310129
20242.0,202406,1130564500,우이동,545,3902,829,175,59,25,58,144599549
20242.0,202406,1130566000,인수동,770,5868,1053,125,63,4,54,133012223
20242.0,202406,1132051100,창1동,171,1206,537,119,101,31,66,259467213
20242.0,202406,1132051200,창2동,456,3970,809,40,6,1,53,155108707
20242.0,202406,1132051300,창3동,179,1369,193,6,0,0,50,134179521
20242.0,202406,1132051400,창4동,100,478,533,92,84,0,75,445354697
20242.0,202406,1132051500,창5동,223,1435,515,177,54,24,59,240547350
20242.0,202406,1132052100,도봉1동,420,3456,366,7,21,0,49,107137629
20242.0,202406,1132052200,도봉2동,125,618,623,60,0,0,65,251620881
20242.0,202406,1132066000,쌍문1동,382,3423,647,66,46,2,54,142247864
20242.0,202406,1132067000,쌍문2동,291,2406,457,6,0,16,53,136819848
20242.0,202406,1132068000,쌍문3동,240,1917,426,43,1,0,54,148931274
20242.0,202406,1132068100,쌍문4동,113,624,574,12,0,12,64,226052436
20242.0,202406,1132069000,방학1동,286,2222,486,166,109,0,58,194926966
20242.0,202406,1132070000,방학2동,403,3632,467,1,7,0,49,115891080
20242.0,202406,1132071000,방학3동,131,583,761,85,40,0,71,252092055
20242.0,202406,1135056000,월계1동,293,1871,463,100,1,0,54,174087257
20242.0,202406,1135057000,월계2동,134,899,501,120,34,0,65,314200953
20242.0,202406,1135058000,월계3동,106,836,247,49,35,0,60,403325496
20242.0,202406,1135059500,공릉1동,376,2489,1044,78,7,0,56,179781904
20242.0,202406,1135060000,공릉2동,264,1390,1058,277,85,0,67,298785366
20242.0,202406,1135061100,하계1동,137,712,522,190,139,0,71,319439476
20242.0,202406,1135061200,하계2동,68,393,290,114,0,0,70,430000223
20242.0,202406,1135061900,중계본동,190,995,503,323,75,0,70,302852523
20242.0,202406,1135062100,중계1동,79,302,430,136,7,0,78,588563712
20242.0,202406,1135062400,중계4동,73,433,357,22,0,0,64,296200668
20242.0,202406,1135062500,중계2?3동,90,768,190,45,11,0,56,319511608
20242.0,202406,1135063000,상계1동,299,1991,967,185,110,2,63,227647807
20242.0,202406,1135064000,상계2동,160,1056,430,35,35,0,57,214606401
20242.0,202406,1135066500,상계3?4동,255,1869,587,68,0,0,55,197056774
20242.0,202406,1135067000,상계5동,238,1869,378,2,0,0,51,146806589
20242.0,202406,1135069500,상계6?7동,153,1408,412,8,0,0,56,391339869
20242.0,202406,1135070000,상계8동,73,789,87,0,0,0,54,334857306
20242.0,202406,1135071000,상계9동,71,539,313,0,0,0,59,354541080
20242.0,202406,1135072000,상계10동,52,444,132,48,0,0,62,427110577
20242.0,202406,1138051000,녹번동,701,4657,1434,89,16,4,54,194168619
20242.0,202406,1138052000,불광1동,704,4028,1432,231,29,2,55,213958560
20242.0,202406,1138053000,불광2동,700,5120,870,52,14,12,50,142334183
20242.0,202406,1138055100,갈현1동,565,3496,1102,49,4,0,54,208463816
20242.0,202406,1138055200,갈현2동,732,5229,1344,100,14,5,53,153952135
20242.0,202406,1138056000,구산동,784,5143,1890,160,22,0,56,151231930
20242.0,202406,1138057000,대조동,605,4131,885,50,5,0,50,149585430
20242.0,202406,1138058000,응암1동,472,2955,983,46,26,0,55,167372789
20242.0,202406,1138059000,응암2동,221,1443,572,92,5,0,58,279039358
20242.0,202406,1138060000,응암3동,577,3607,541,28,6,2,49,132152795
20242.0,202406,1138062500,역촌동,1242,8321,2567,66,29,7,54,155478218
20242.0,202406,1138063100,신사1동,639,4456,1342,77,6,0,55,162425905
20242.0,202406,1138063200,신사2동,368,2405,731,36,2,3,53,156384400
20242.0,202406,1138064000,증산동,261,1352,885,73,2,0,60,264412580
20242.0,202406,1138065000,수색동,91,534,208,74,3,0,57,285969087
20242.0,202406,1138069000,진관동,377,719,1679,899,610,350,97,532753479
20242.0,202406,1141052000,천연동,107,554,269,140,5,0,63,397400487
20242.0,202406,1141055500,북아현동,108,501,381,34,7,12,64,602036398
20242.0,202406,1141056500,충현동,259,1125,852,192,51,29,69,381899901
20242.0,202406,1141058500,신촌동,218,1533,409,71,14,2,49,177165248
20242.0,202406,1141061500,연희동,661,3783,1280,318,118,131,66,207240534
20242.0,202406,1141062000,홍제1동,337,1786,1010,193,16,11,62,217602474
20242.0,202406,1141064000,홍제3동,180,1174,361,42,5,0,55,167360192
20242.0,202406,1141065500,홍제2동,118,600,496,116,13,0,67,314983342
20242.0,202406,1141066000,홍은1동,191,976,569,130,57,0,61,233400398
20242.0,202406,1141068500,홍은2동,642,4017,1284,146,156,113,60,154661428
20242.0,202406,1141069000,남가좌1동,71,214,452,63,6,11,80,679160100
20242.0,202406,1141070000,남가좌2동,301,1887,546,129,1,1,54,227969844
20242.0,202406,1141071000,북가좌1동,188,865,625,104,19,0,65,410754253
20242.0,202406,1141072000,북가좌2동,872,5602,1521,103,0,11,54,167757926
20242.0,202406,1144055500,아현동,106,484,393,176,4,12,76,921140791
20242.0,202406,1144056500,공덕동,415,2211,715,247,26,1,57,396354330
20242.0,202406,1144058500,도화동,122,478,415,226,116,25,77,517528938
20242.0,202406,1144059000,용강동,136,868,319,182,70,0,64,497352990
20242.0,202406,1144060000,대흥동,73,502,108,14,0,1,41,290729719
20242.0,202406,1144061000,염리동,99,598,168,32,0,0,49,314172668
20242.0,202406,1144063000,신수동,205,1190,640,126,11,13,60,385870186
20242.0,202406,1144065500,서강동,317,1809,851,122,65,42,57,361808135
20242.0,202406,1144066000,서교동,471,3337,802,90,46,11,51,212792253
20242.0,202406,1144068000,합정동,523,3397,817,89,16,5,49,226954603
20242.0,202406,1144069000,망원1동,511,3563,658,131,6,1,48,212810124
20242.0,202406,1144070000,망원2동,415,2713,711,81,8,0,50,204295370
20242.0,202406,1144071000,연남동,388,2408,763,89,13,5,50,208713210
20242.0,202406,1144072000,성산1동,568,3499,1231,120,44,8,55,188218762
20242.0,202406,1144073000,성산2동,363,2571,700,109,1,0,53,254866913
