YYYYMM,행정동코드,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,남성_매출_금액,여성_매출_금액,행정동이름,AREA_M2,LAT,LON,전체승객수,지하철승객수,버스승객수,아파트_단지_수,아파트_면적_66_제곱미터_미만_세대_수,아파트_면적_66_제곱미터_세대_수,아파트_면적_99_제곱미터_세대_수,아파트_면적_132_제곱미터_세대_수,아파트_면적_165_제곱미터_세대_수,아파트_평균_면적,아파트_평균_시가,M2,KOSPI,HOUSE_SALE,RENT_SALE,FX,생활인구합계
202408,1117051000,21925421499.0,1325990.0,16809378564.0,5116042935.0,9588051491.0,9669409251.0,후암동,865282,126.98059,37.54994,194416,0,194416,370,1811,818.0,104,84.0,60.0,63.0,292755194,3834303.6,2647.99,91.47,96.173,1354.15,10618837
202408,1117052000,13723270485.0,897467.0,8531704462.0,5191566022.0,6577019694.0,6613843092.0,용산2가동,2045385,126.98353,37.54024,569329,148767,420562,281,1403,175.0,10,4.0,1.0,49.0,204859436,3834303.6,2647.99,91.47,96.173,1354.15,13082652
202408,1117053000,61775699795.0,2481721.0,49534815557.0,12240884239.0,26949802231.0,21895616143.0,남영동,751924,126.97351,37.54511,1158156,553481,604675,78,367,154.0,31,18.0,2.0,61.0,398414266,3834303.6,2647.99,91.47,96.173,1354.15,12823745
202408,1117055500,39102717012.0,2502694.0,30039316667.0,9063400345.0,16015016386.0,17869831837.0,청파동,854585,126.96717,37.54786,223562,0,223562,457,2443,584.0,92,11.0,3.0,54.0,244172572,3834303.6,2647.99,91.47,96.173,1354.15,14265839
202408,1117056000,127000000000.0,1541797.0,121000000000.0,5831819861.0,59914653208.0,22623990728.0,원효로제1동,563923,126.96656,37.53747,284228,0,284228,125,778,345.0,99,30.0,0.0,55.0,423991122,3834303.6,2647.99,91.47,96.173,1354.15,13723168
202408,1117057000,54752003396.0,826482.0,52422144784.0,2329858612.0,25741131676.0,8755626418.0,원효로제2동,943601,126.95139,37.5331,174667,0,174667,119,657,310.0,102,34.0,60.0,68.0,462855465,3834303.6,2647.99,91.47,96.173,1354.15,9978069
202408,1117058000,11220799177.0,433815.0,9483349846.0,1737449331.0,4049595188.0,6388774234.0,효창동,502716,126.96131,37.54305,376813,250962,125851,187,995,574.0,119,39.0,22.0,63.0,342185373,3834303.6,2647.99,91.47,96.173,1354.15,6420438
202408,1117059000,28179092851.0,1162458.0,21510003415.0,6669089436.0,11029281754.0,14777446739.0,용문동,268086,126.95858,37.53815,99698,0,99698,176,1130,299.0,90,3.0,0.0,54.0,323872688,3834303.6,2647.99,91.47,96.173,1354.15,7848147
202408,1117062500,620000000000.0,5798534.0,490000000000.0,130000000000.0,263000000000.0,170000000000.0,한강로동,2632658,126.96786,37.52918,2907170,2003812,903358,81,317,188.0,97,124.0,27.0,72.0,780899618,3834303.6,2647.99,91.47,96.173,1354.15,39619852
202408,1117063000,33667757191.0,1050939.0,25879359262.0,7788397929.0,12963035545.0,17674067070.0,이촌제1동,2128932,126.97096,37.51728,202425,0,202425,133,201,295.0,555,204.0,320.0,120.0,1448413885,3834303.6,2647.99,91.47,96.173,1354.15,17135435
202408,1117064000,5169041664.0,160385.0,4524424822.0,644616842.0,1610480350.0,3180517106.0,이촌제2동,1203554,126.95394,37.52333,96848,0,96848,80,531,260.0,31,2.0,0.0,61.0,541443092,3834303.6,2647.99,91.47,96.173,1354.15,4205637
